City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sao joao da barra,-21.6403,-41.0511,80.69,86,89,4.47,BR,2023-04-01 22:45:19
1,broome,42.2506,-75.833,54.7,69,75,18.41,US,2023-04-01 22:45:19
2,birjand,32.8663,59.2211,59.47,26,20,4.61,IR,2023-04-01 22:45:19
3,kapaa,22.0752,-159.319,75.52,84,100,13.8,US,2023-04-01 22:45:19
4,bluff,-46.6,168.3333,55.8,67,100,15.59,NZ,2023-04-01 22:45:19
5,port augusta,-32.5,137.7667,59.85,45,0,7.18,AU,2023-04-01 22:45:19
6,pacific grove,36.6177,-121.9166,66.38,64,0,12.66,US,2023-04-01 22:45:19
7,ulladulla,-35.35,150.4667,59.77,89,100,6.49,AU,2023-04-01 22:45:19
8,talnakh,69.4865,88.3972,20.21,94,100,18.32,RU,2023-04-01 22:45:19
9,bethel,41.3712,-73.414,70.65,65,23,9.35,US,2023-04-01 22:45:20
10,albany,42.6001,-73.9662,63.91,71,15,8.01,US,2023-04-01 22:45:15
11,provideniya,64.3833,-173.3,18.01,87,98,9.01,RU,2023-04-01 22:45:20
12,namibe,-15.1961,12.1522,75.18,84,98,6.89,AO,2023-04-01 22:45:20
13,punta arenas,-53.15,-70.9167,48.31,76,75,19.57,CL,2023-04-01 22:45:20
14,arraial do cabo,-22.9661,-42.0278,76.26,88,1,11.16,BR,2023-04-01 22:40:48
15,honningsvag,70.9821,25.9704,28.15,74,100,20.71,NO,2023-04-01 22:45:20
16,berezovyy,51.6667,135.7,38.39,75,81,1.32,RU,2023-04-01 22:45:20
17,port elizabeth,-33.918,25.5701,66.49,96,0,8.05,ZA,2023-04-01 22:45:20
18,grenaa,56.4158,10.8783,37.94,78,2,13.96,DK,2023-04-01 22:45:20
19,mataura,-46.1927,168.8643,55.47,98,100,4.12,NZ,2023-04-01 22:45:21
20,manzhouli,49.6,117.4333,33.48,66,84,8.03,CN,2023-04-01 22:45:21
21,stornoway,58.2093,-6.3865,45.03,89,100,4.61,GB,2023-04-01 22:45:21
22,khatanga,71.9667,102.5,19.81,92,100,20.29,RU,2023-04-01 22:45:21
23,rikitea,-23.1203,-134.9692,80.53,80,27,16.22,PF,2023-04-01 22:45:21
24,trelew,-43.249,-65.3051,71.73,24,74,12.12,AR,2023-04-01 22:45:21
25,georgetown,5.4112,100.3354,82.33,94,20,4.61,MY,2023-04-01 22:45:21
26,novoagansk,61.9449,76.6625,29.59,81,100,16.96,RU,2023-04-01 22:45:21
27,tasiilaq,65.6145,-37.6368,28.56,85,100,2.39,GL,2023-04-01 22:45:21
28,castro,-24.7911,-50.0119,67.28,81,61,3.06,BR,2023-04-01 22:45:21
29,busselton,-33.65,115.3333,57.29,91,2,7.81,AU,2023-04-01 22:45:22
30,vegreville,53.5001,-112.0518,30.25,80,97,3.44,CA,2023-04-01 22:45:22
31,bereda,43.2686,-7.5406,35.15,100,22,1.05,ES,2023-04-01 22:45:22
32,priladozhskiy,59.85,31.4833,26.02,94,100,6.11,RU,2023-04-01 22:45:22
33,norman wells,65.282,-126.8329,14.04,62,75,0.0,CA,2023-04-01 22:45:22
34,fortuna,40.5982,-124.1573,50.94,83,100,3.0,US,2023-04-01 22:45:22
35,ribeira grande,38.5167,-28.7,63.77,95,81,18.01,PT,2023-04-01 22:45:22
36,guerrero negro,27.9769,-114.0611,65.08,51,0,18.95,MX,2023-04-01 22:45:22
37,hilo,19.7297,-155.09,85.28,75,75,11.5,US,2023-04-01 22:45:22
38,chokurdakh,70.6333,147.9167,-18.85,98,99,7.74,RU,2023-04-01 22:45:22
39,hamilton,39.1834,-84.5333,43.59,75,100,21.85,US,2023-04-01 22:45:22
40,isla mujeres,21.2311,-86.731,82.45,72,1,10.4,MX,2023-04-01 22:45:22
41,qaanaaq,77.484,-69.3632,-12.89,68,5,5.91,GL,2023-04-01 22:45:22
42,taoudenni,22.6783,-3.9836,83.43,7,0,9.98,ML,2023-04-01 22:45:23
43,sobolevo,54.4299,31.8996,44.85,92,100,13.04,RU,2023-04-01 22:45:23
44,kodinsk,58.6881,99.1844,1.81,98,26,1.7,RU,2023-04-01 22:45:23
45,akdepe,42.0551,59.3788,51.89,73,100,17.13,TM,2023-04-01 22:45:23
46,torbay,47.6666,-52.7314,35.28,66,75,9.22,CA,2023-04-01 22:45:23
47,hermanus,-34.4187,19.2345,60.8,88,1,8.77,ZA,2023-04-01 22:45:23
48,shiyan,32.6475,110.7781,58.17,86,4,3.4,CN,2023-04-01 22:45:23
49,saint-philippe,-21.3585,55.7679,74.79,83,45,11.39,RE,2023-04-01 22:45:23
50,longyearbyen,78.2186,15.6401,10.24,72,75,6.91,SJ,2023-04-01 22:45:23
51,clyde river,70.4692,-68.5914,-10.97,77,20,10.36,CA,2023-04-01 22:45:23
52,pisco,-13.7,-76.2167,78.85,78,0,20.71,PE,2023-04-01 22:43:09
53,victoria,22.2855,114.1577,71.94,92,99,11.01,HK,2023-04-01 22:42:53
54,codrington,-38.2667,141.9667,56.95,65,60,1.28,AU,2023-04-01 22:45:24
55,new norfolk,-42.7826,147.0587,58.5,74,100,1.01,AU,2023-04-01 22:45:24
56,evensk,61.95,159.2333,22.86,93,100,6.24,RU,2023-04-01 22:45:24
57,umea,63.8284,20.2597,25.92,80,0,5.75,SE,2023-04-01 22:45:24
58,avarua,-21.2078,-159.775,84.25,74,75,8.05,CK,2023-04-01 22:45:24
59,ushuaia,-54.8,-68.3,46.06,66,40,10.36,AR,2023-04-01 22:45:24
60,cherskiy,68.75,161.3,-15.66,97,100,4.16,RU,2023-04-01 22:45:24
61,bengkulu,-3.8004,102.2655,73.47,88,97,4.29,ID,2023-04-01 22:45:24
62,luderitz,-26.6481,15.1594,61.07,90,16,6.89,NA,2023-04-01 22:45:24
63,ponta do sol,32.6667,-17.1,65.12,57,0,5.91,PT,2023-04-01 22:45:24
64,cape town,-33.9258,18.4232,67.37,80,0,13.8,ZA,2023-04-01 22:45:03
65,paamiut,61.994,-49.6678,25.61,68,100,11.39,GL,2023-04-01 22:45:24
66,rundu,-17.9333,19.7667,67.87,67,82,5.28,NA,2023-04-01 22:45:24
67,shenzhen,22.5455,114.0683,71.83,94,96,6.69,CN,2023-04-01 22:45:24
68,smithers,54.7804,-127.1743,41.32,45,75,4.61,CA,2023-04-01 22:45:24
69,nemuro,43.3236,145.575,33.55,77,29,16.75,JP,2023-04-01 22:45:25
70,san juan,-31.5375,-68.5364,73.0,35,73,8.19,AR,2023-04-01 22:45:25
71,aljezur,37.3191,-8.8033,59.79,94,56,11.65,PT,2023-04-01 22:45:25
72,atuona,-9.8,-139.0333,80.76,75,21,15.14,PF,2023-04-01 22:45:25
73,cayenne,4.9333,-52.3333,77.04,83,75,5.75,GF,2023-04-01 22:45:25
74,makakilo city,21.3469,-158.0858,79.12,67,75,12.66,US,2023-04-01 22:45:25
75,kupang,-10.1667,123.5833,75.78,100,20,2.3,ID,2023-04-01 22:45:25
76,bambous virieux,-20.3428,57.7575,77.25,83,20,3.44,MU,2023-04-01 22:45:25
77,awbari,26.5921,12.7805,68.29,13,0,10.49,LY,2023-04-01 22:45:25
78,andra,62.5147,65.8878,35.62,99,100,13.0,RU,2023-04-01 22:45:25
79,akranes,64.3218,-22.0749,39.76,81,100,26.31,IS,2023-04-01 22:41:57
80,bandarbeyla,9.4942,50.8122,80.42,72,18,2.73,SO,2023-04-01 22:45:25
81,ahuimanu,21.4447,-157.8378,80.31,74,75,12.66,US,2023-04-01 22:45:25
82,mahaplag,10.5788,124.9753,78.13,89,89,2.21,PH,2023-04-01 22:45:25
83,east london,-33.0153,27.9116,68.36,85,50,10.0,ZA,2023-04-01 22:45:25
84,leningradskiy,69.3833,178.4167,1.65,94,100,31.88,RU,2023-04-01 22:45:26
85,izumo,35.3667,132.7667,53.55,76,20,21.85,JP,2023-04-01 22:43:39
86,buckeye,33.3703,-112.5838,81.55,12,14,3.27,US,2023-04-01 22:41:17
87,nikolskoye,59.7035,30.7861,29.8,96,94,5.1,RU,2023-04-01 22:45:26
88,barrow,71.2906,-156.7887,1.42,92,100,8.05,US,2023-04-01 22:45:26
89,port macquarie,-31.4333,152.9167,70.9,72,32,8.95,AU,2023-04-01 22:45:26
90,caconda,-13.7333,15.0667,57.67,97,59,4.56,AO,2023-04-01 22:45:26
91,shakawe,-18.3667,21.85,68.0,78,64,4.14,BW,2023-04-01 22:45:26
92,cauas,47.5667,22.55,50.05,93,98,4.68,RO,2023-04-01 22:45:26
93,caravelas,-17.7125,-39.2481,78.87,77,1,9.01,BR,2023-04-01 22:45:26
